row_id,is_anomaly,Cluster_ID
0,0,0
1,0,0
2,1,1
3,0,0
4,0,0
5,1,2
6,0,2
7,1,2
8,0,2
9,0,1
10,0,2
11,0,1
12,0,2
13,0,1
14,0,0
15,0,0
16,0,0
17,0,2
18,0,0
19,0,2
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,2
26,0,2
27,0,1
28,0,2
29,0,0
30,0,2
31,0,2
32,0,2
33,0,2
34,0,0
35,0,2
36,1,2
37,0,2
38,0,1
39,0,1
40,0,2
41,0,0
42,0,0
43,0,0
44,0,2
45,0,0
46,1,2
47,0,2
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,2
58,0,2
59,0,0
60,0,0
61,0,1
62,0,1
63,0,1
64,0,0
65,0,2
66,0,1
67,0,2
68,0,1
69,0,0
70,0,0
71,0,0
72,0,0
73,0,1
74,0,2
75,0,2
76,0,0
77,0,0
78,0,2
79,0,0
80,0,0
81,0,0
82,0,0
83,1,0
84,0,2
85,0,0
86,0,0
87,0,0
88,0,0
89,0,1
90,0,2
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,1
100,0,0
101,0,0
102,0,0
103,0,1
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,1
111,0,0
112,0,2
113,0,1
114,0,0
115,0,1
116,0,1
117,0,1
118,0,2
119,0,0
120,0,2
121,0,2
122,0,0
123,0,2
124,0,0
125,0,0
126,0,0
127,0,0
128,0,1
129,0,0
130,0,2
131,0,0
132,0,0
133,0,1
134,0,2
135,0,0
136,0,2
137,0,2
138,0,2
139,0,2
140,1,2
141,0,2
142,0,0
143,0,0
144,0,2
145,1,1
146,0,2
147,0,2
148,0,0
149,0,2
150,0,0
151,0,2
152,1,0
153,0,2
154,0,2
155,0,2
156,0,2
157,0,0
158,0,0
159,0,0
160,0,1
161,0,2
162,0,0
163,0,0
164,0,2
165,0,0
166,0,0
